key,ko,en
for foreigners,외국인을 위한,for foreigners
recruitment platform,채용 플랫폼,recruitment platform
It provides customized employment information and services for foreigners looking for a job in Korea,한국에서 일자리를 찾고 있는 외국인을 위한 맞춤형 취업 정보와 서비스를 제공합니다,It provides customized employment information and services for foreigners looking for a job in Korea
View Recruitment,채용정보 보기,View Recruitment
Sign up,회원가입,Sign up
Login,로그인,Login,
Search for job postings,채용 공고 검색하기,Search for job postings
Recruitment,채용정보,recruitment
